Sample,Depth,Soil_fertility,Microbial_diversity,No.Fires,Clearcut,Salvage,TSD,Ammonium.Nitrogen,Nitrate.Nitrogen,Phosphorus.Colwell,Potassium.Colwell,Organic.Carbon,DTPA.Copper,DTPA.Iron,DTPA.Manganese,Exc.Magnesium,Slope,Elevation,pH.CaCl2.,Fungi_010cm,Bacteria_010cm,Archaea_010cm
39310,010cm,0.146105791,0.462204871,2,0,0,8,33,52,17,422,5.15,0.6,158.9,10.51,2.45,1.38991,582.8959961,4.4,4.08373735,6.923440304,3.003644506
39314,010cm,-0.702884873,-0.898701717,2,1,0,8,21,36,16,171,4.92,0.27,255.08,1.78,0.47,5.6993599,818.6560059,4.3,3.616960111,6.423541768,2.569046669
39316,010cm,0.210558567,0.264087726,3,0,0,8,32,44,29,448,5.25,0.59,150.01,7.14,2.37,16.6175995,474.2609863,4.5,4.151662686,6.737849277,2.953166641
39318,010cm,-0.329013569,0.130927509,2,1,0,8,53,21,16,157,5.74,0.16,321.16,3.03,0.64,5.68894,826.7160034,4.1,4.423098624,6.691443887,2.386506275
39320,010cm,0.775171757,-0.115702152,0,0,0,167,91,233,50,296,5.35,0.46,259.93,25.79,1.51,20.8757,931.2080078,3.9,4.422615292,6.482614917,2.416542659
39322,010cm,-0.234089165,0.950670118,2,0,0,8,37,22,23,318,4.27,0.39,192.9,6.02,2.18,10.1742001,733.53302,4.3,4.655406462,7.046439224,2.615931844
39324,010cm,-0.690753738,0.54759731,2,1,0,8,34,28,13,154,4.71,0.26,298.55,1.69,0.58,7.8072,825.8280029,4.3,4.383377957,6.748295643,3.01893382
39326,010cm,-0.116259314,-0.831822968,2,1,0,8,31,2,10,270,5.48,0.74,174.68,28.11,1.83,15.5325003,550.8549805,4.9,4.118944804,6.692940797,1.296217453
39328,010cm,-0.59882686,-0.840319202,2,0,1,8,47,2,13,315,4.77,0.35,154.49,7.1,1.05,3.7323599,859.9509888,4.2,3.680813228,6.843301736,1.685792948
39330,010cm,0.238322037,-0.14436111,2,0,0,34,65,48,19,394,4.63,0.56,256.82,14.92,1.87,11.3853998,664.8950195,4.1,4.075075897,6.582987472,2.728870501
39332,010cm,-0.328058141,0.044744631,2,1,0,8,50,42,14,173,5.1,0.34,261.36,2.73,1.28,16.8582993,831.4240112,4.5,4.095923037,6.772089478,2.611930893
39336,010cm,-1.065914678,-0.780655807,2,0,1,8,24,2,6,267,4.13,0.51,80.13,11.39,1,8.1530104,812.7199707,4.8,3.492728222,6.999482504,1.766272512
39340,010cm,-0.79193768,-0.204758942,1,1,0,8,18,29,12,209,4.31,0.31,284.63,1.34,0.7,6.4287901,669.9489746,4.2,3.707996446,7.001193462,2.358487582
39342,010cm,-0.671006495,-0.157136241,2,0,1,8,36,7,12,287,4.26,0.49,121.9,11.41,0.88,2.17805,859.9829712,4.6,4.271034149,6.906167401,1.713598086
39344,010cm,-0.833927449,-0.245276067,2,1,0,8,25,2,5,218,4.6,0.65,145.09,16.61,1.3,17.9342995,550.026001,4.7,4.360744747,6.851888667,1.534831238
39346,010cm,-0.720927847,1.544228222,1,1,0,8,21,16,17,209,5.14,0.29,174.4,3.82,0.41,12.6160002,666.098999,4.1,4.570791074,7.056041622,3.711495883
39348,010cm,0.549109017,0.01770345,1,1,0,34,84,148,70,208,5.45,0.3,338.21,17.3,0.96,8.1570396,822.1370239,3.7,3.823230219,6.705710425,3.151992977
39350,010cm,-0.779871434,1.478616309,2,0,1,8,17,22,15,307,4.45,0.36,87.15,3.6,0.82,10.9677,612.9840088,4.4,4.863662111,7.224330664,2.773485579
39352,010cm,-0.917595205,-0.021776021,2,1,0,8,27,1,6,215,4.36,0.53,103.84,19.48,1.45,19.2161007,553.9500122,4.6,4.428797125,6.792944814,1.914249919
39354,010cm,-0.145731973,0.543563814,1,1,0,34,52,121,23,194,4.63,0.5,224.7,15.39,0.64,23.6049004,589.7680054,3.9,4.354842989,6.512033441,3.551411991
39356,010cm,0.416832597,-1.405166371,2,0,0,34,136,78,20,258,5.24,0.17,399.78,8.76,1.96,13.9373999,771.0620117,3.6,3.629591223,6.196648097,2.187533634
39358,010cm,-0.063101245,0.200469388,2,0,1,8,35,17,14,462,5.25,0.43,107.29,12.62,1.88,5.3535299,842.6459961,4.7,4.256204461,6.939533841,2.257011947
39360,010cm,-0.217227757,-0.075895436,1,1,0,34,64,52,15,172,5.52,0.11,319.09,2.87,0.88,7.6529598,703.6190186,3.6,4.527071489,6.543571925,2.18409448
39362,010cm,-0.310267845,0.348537787,2,1,0,8,52,42,19,182,4.8,0.26,320.82,4.86,0.84,21.7394009,777.6890259,3.8,4.428888051,6.697098875,2.723476203
39364,010cm,-0.810437289,0.958261621,2,0,1,8,28,63,22,195,4.11,0.32,117.68,3.17,0.41,9.64501,619.5029907,4.3,4.409903037,6.875484824,3.386472937
39366,010cm,-0.483528458,-0.542084299,2,0,0,8,25,5,14,323,4.93,0.51,137.58,7.07,1.51,28.7521992,824.5819702,4.5,4.062121981,6.684841186,1.88305004
39368,010cm,-0.233525376,0.763048287,2,0,0,8,26,38,21,340,4.52,0.56,123.94,8.03,1.88,19.3216,855.4370117,4.7,4.305276302,7.179475003,2.602736992
39370,010cm,-0.082492161,-0.090324571,2,0,0,34,49,4,16,305,5.15,0.49,204.61,11.85,2.46,22.8845005,596.8369751,4.3,4.546133447,6.532708951,2.151789607
39372,010cm,0.016737757,-0.574527605,1,1,0,34,65,124,27,187,5.42,0.2,296.24,7.45,0.75,16.0781994,637.7479858,3.7,4.280311545,6.369796959,2.129225339
39376,010cm,-0.348396775,-0.51382561,2,0,1,8,41,3,12,310,4.86,0.73,126.04,19.1,1.19,3.96364,871.1820068,4.8,4.099616219,6.734785782,1.76411888
